Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
1.14896,-45.0955,28,0.00328482,0.18,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0117302,1,0.18,Wed Jan 18 12:42:46 2023,0,
1.15902,-47.8935,19,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00488759,1,0.32,Wed Jan 18 12:42:46 2023,0,
1.16908,-50.6438,14,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00195503,1,0.32,Wed Jan 18 12:42:46 2023,0,
1.17914,-53.343,14,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00488759,1,0.32,Wed Jan 18 12:42:46 2023,0,
1.1892,-55.9894,14,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00782014,1,0.32,Wed Jan 18 12:42:46 2023,0,
1.19926,-58.5805,15,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0127077,1,0.32,Wed Jan 18 12:42:47 2023,0,
1.20932,-61.1122,15,0.00437977,0.24,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,0.24,Wed Jan 18 12:42:47 2023,0,
1.21938,-63.5828,9,0.00437977,0.24,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,0.24,Wed Jan 18 12:42:47 2023,0,
1.22945,-65.9902,4,0.00437977,0.24,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0107527,1,0.24,Wed Jan 18 12:42:47 2023,0,
1.23951,-68.3321,2,0.00437977,0.24,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,0.24,Wed Jan 18 12:42:47 2023,0,
1.24957,-70.6055,2,0.00437977,0.24,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,0.24,Wed Jan 18 12:42:47 2023,0,
1.25963,-72.8084,-3,0.0107669,0.59,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,0.59,Wed Jan 18 12:42:47 2023,0,
1.26969,-74.9387,-6,0.0107669,0.59,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,0.59,Wed Jan 18 12:42:47 2023,0,
1.27975,-76.9935,-8,0.0107669,0.59,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0166178,1,0.59,Wed Jan 18 12:42:47 2023,0,
1.28981,-78.9713,-12,0.0107669,0.59,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,0.59,Wed Jan 18 12:42:47 2023,0,
1.29988,-80.8711,-14,0.0107669,0.59,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0166178,1,0.59,Wed Jan 18 12:42:47 2023,0,
1.30994,-82.6895,-18,0.0268261,1.47,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,1.47,Wed Jan 18 12:42:47 2023,0,
1.32,-84.4252,-21,0.0268261,1.47,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,1.47,Wed Jan 18 12:42:47 2023,0,
1.33014,-86.0888,-25,0.0268261,1.47,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,1.47,Wed Jan 18 12:42:47 2023,0,
1.3402,-87.654,-27,0.0268261,1.47,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,1.47,Wed Jan 18 12:42:47 2023,0,
1.35026,-89.1315,-30,0.0268261,1.47,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,1.47,Wed Jan 18 12:42:47 2023,0,
1.36032,-90.5198,-34,0.0277385,1.52,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,1.52,Wed Jan 18 12:42:47 2023,0,
1.37038,-91.8175,-34,0.0277385,1.52,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,1.52,Wed Jan 18 12:42:47 2023,0,
1.38044,-93.0235,-37,0.0277385,1.52,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0166178,1,1.52,Wed Jan 18 12:42:47 2023,0,
1.3905,-94.1367,-42,0.0277385,1.52,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,1.52,Wed Jan 18 12:42:47 2023,0,
1.40057,-95.1564,-44,0.0277385,1.52,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,1.52,Wed Jan 18 12:42:47 2023,0,
1.41063,-96.0806,-47,0.0222638,1.22,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,1.22,Wed Jan 18 12:42:47 2023,0,
1.4207,-96.9095,-50,0.0222638,1.22,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,1.22,Wed Jan 18 12:42:47 2023,0,
1.43077,-97.6411,-52,0.0222638,1.22,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,1.22,Wed Jan 18 12:42:47 2023,0,
1.44083,-98.2746,-55,0.0222638,1.22,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,1.22,Wed Jan 18 12:42:47 2023,0,
1.45088,-98.81,-57,0.0222638,1.22,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,1.22,Wed Jan 18 12:42:47 2023,0,
1.46094,-99.2465,-59,0.0118619,0.65,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,0.65,Wed Jan 18 12:42:47 2023,0,
1.471,-99.5842,-62,0.0118619,0.65,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,0.65,Wed Jan 18 12:42:47 2023,0,
1.48107,-99.8223,-66,0.0118619,0.65,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0117302,1,0.65,Wed Jan 18 12:42:47 2023,0,
